  9809     SPring-8 14b2 
 Fe-K_FePO4_Si1  20.05.26 16:04 - 20.05.26 16:08
 FePO4                                                                           
 Ring :   8.0 GeV    99.5 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.07739 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4415
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       16.95500  13.23500    -0.000850       0.05      4415
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.200   101.900
  16.46285  16.47046     0.050     29663     18622
  16.46200  16.46954     0.050     29657     18623
  16.46115  16.46860     0.050     29660     18639
  16.46030  16.46768     0.050     29671     18651
  16.45945  16.46681     0.050     29670     18650
  16.45860  16.46597     0.050     29675     18665
  16.45775  16.46519     0.050     29674     18671
  16.45690  16.46447     0.050     29683     18685
  16.45605  16.46374     0.050     29680     18691
  16.45520  16.46298     0.050     29684     18702
  16.45435  16.46218     0.050     29692     18710
  16.45350  16.46127     0.050     29689     18715
  16.45265  16.46033     0.050     29694     18728
  16.45180  16.45939     0.050     29702     18734
  16.45095  16.45845     0.050     29712     18744
