# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Mehrnaz Mikhchian
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (III) Phospahte-x2H2O
# Scan.number:scan1
# Sample.id:3q20lp
# Scan.start_time:2024-05-10
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:SXRMB
# Beamline.scan_type:XAFS
# Beamline.scan_mode:TEY
# Beamline.website:https://sxrmb.lightsource.ca/
# Beamline.detector:Sample Current
# Beamline.energy_range:1.7 - 10.0
# Beamline.flux:1E11 ph/s
# Mono.name:InSb(111), Si(111)
# Element.edge:K
# Beamline_scan_mode:TEY
# Column.1:Energy
# Column.2:I0
# Column.6:TEY
# Column.7:Ifluor
# Column.5:Mufluor
# Energy  I0       TEY      Ifluor    Mufluor                  
7255.66   92902    0.7091220699058579        87912    346.886  
7258.01   93683    0.7105048746476752        88752    329.534  
7260.38   94385    0.7128019335146242        89586    356.092  
7262.77   94923    0.7142938224613765        90207    369.366  
7265.17   90427    0.7218382684190479        86466    318.093  
7267.6    96904    0.7191727010203038        92458    327.539  
7270.04   97786    0.7203730382555846        93391    376.577  
7272.51   98580    0.7212020781993812        94213    391.887  
7274.99   99335    0.7233135680929749        95098    384.743  
7277.49   100078   0.7244123652495799        95895    390.894  
7280.01   100033   0.7252733997084165        95919    392.917  
7282.55   101749   0.724284269841357         97486    390.84   
7285.11   102520   0.7244633010268059        98239    374.519  
7287.69   103315   0.725161324857149         99057    394.928  
7290.29   104119   0.723622372015344         99703    394.913  
7292.9    104908   0.7219155207537847        100319   390.842  
7295.54   104763   0.7227687701750208        100250   367.251  
7298.19   106107   0.7223200437743078        101499   469.258  
7300.86   107058   0.7210530517465236        102303   450.913  
7303.56   107927   0.7169818247771014        102791   412.129  
7306.27   108732   0.7160176869369556        103476   443.706  
7309      109533   0.7145850716706651        104116   444.674  
7311.75   110396   0.7138141529045329        104870   422.204  
7314.52   111176   0.7113214402900881        105395   416.078  
7317.3    111923   0.7103909232143591        106022   455.818  
7320.11   112584   0.7091468009099031        106539   431.342  
7322.94   113406   0.7083788702578473        107249   439.452  
7325.78   114163   0.7071884696110483        107859   478.181  
7328.64   114978   0.706608139517641         108577   436.364  
7331.53   115705   0.7057150275000156        109183   443.47   
7334.43   116464   0.7050735575860395        109841   447.496  
7337.35   117200   0.7046449368240763        110496   469.913  
7340.29   117943   0.7047591878553031        111207   444.432  
7343.25   118783   0.7045644483858008        111981   440.319  
7346.23   119688   0.7041765771754217        112798   459.695  
7349.23   120497   0.7048003482672429        113619   448.487  
7352.24   121285   0.7051598692268574        114396   481.04   
7355.28   122200   0.7053801051245           115280   441.349  
7358.33   123039   0.7049369576142901        116029   473.906  
7361.4    123952   0.7057136056193354        116965   451.476  
7364.5    125006   0.704691274526427         117860   465.709  
7367.61   126024   0.7051311098188313        118863   499.34   
7370.74   127032   0.7054874765958238        119849   492.229  
7373.89   127982   0.7054445368714675        120741   480.994  
7377.06   128903   0.7054953943985881        121615   495.237  
7380.25   129821   0.705346156693428         122466   518.726  
7383.45   130843   0.7060121125608207        123498   460.617  
7386.68   131756   0.7059269108057987        124351   511.523  
7389.92   132682   0.7054437424663353        125175   503.411  
7393.19   133530   0.7074424903291869        126183   477.878  
7396.47   134403   0.7072327572825119        126986   562.478  
7399.77   135020   0.7096187988166182        127820   515.559  
7403.09   135814   0.7095558740540417        128565   511.431  
7406.43   136548   0.7084391823905523        129141   478.811  
7409.79   137316   0.7087444012008237        129900   561.311  
7413.17   138118   0.7095277663683984        130743   539.909  
7416.57   138980   0.7077551942446138        131367   531.751  
7419.98   139907   0.7080008182557672        132270   526.612  
7423.42   140732   0.7067336498547909        132911   500.121  
7426.87   141715   0.7052542797447425        133676   569.338  
7430.35   142575   0.7054143547602979        134505   539.781  
7433.84   143488   0.7052862625046796        135352   554.059  
7437.35   144486   0.7040658241616976        136156   537.732  
7440.88   145504   0.7031017709746555        137006   563.106  
7444.43   146681   0.7016734696284623        137951   553.979  
7448      148171   0.7005448053157879        139222   514.283  
7451.59   148517   0.7010105065122535        139601   574.298  
7455.2    150584   0.7002357705471192        141453   522.326  
7458.82   151434   0.6990200885519917        142108   594.646  
7462.47   150808   0.6999769413673166        141633   539.579  
7466.13   153660   0.6991627904794753        144214   575.264  
7469.82   154640   0.6985258357534984        145057   598.698  
7473.52   155612   0.6979999883826726        145905   565.07   
7477.24   156536   0.6983987239795078        146820   565.035  
7480.98   157368   0.69969237531554          147759   605.708  
7484.74   158369   0.7001552346116106        148756   627.085  
7488.52   159260   0.7017191021462111        149787   593.47   
7492.31   160351   0.701038010881368         150728   586.338  
7496.13   161270   0.7015882648885962        151661   592.448  
7499.97   162224   0.7006931352777377        152445   566.949  
7503.82   162988   0.7004967300626201        153138   579.125  
7507.7    163910   0.7009094809151137        154057   660.55   
7511.59   164798   0.7022284267854024        155061   587.22   
7515.5    165698   0.7027641689518805        155977   608.638  
7519.43   166517   0.7025487578860284        156720   641.189  
7523.38   166131   0.7031148800744815        156430   643.101  
7527.35   168532   0.7034971470516193        158741   621.783  
7531.34   169484   0.7025303054778681        159510   609.547  
7535.35   168991   0.7033275488902312        159151   605.385  
7539.37   171612   0.703332151170976         161620   666.458  
7543.42   172692   0.7038142895628287        162702   689.887  
7547.48   173789   0.7025402434024048        163563   661.387  
7551.56   174753   0.7018699677066843        164379   681.68   
7555.67   175660   0.7024386425663132        165310   635.908  
7559.79   176760   0.7037368137793522        166524   703.04   
7563.93   177822   0.702737311498031         167386   734.504  
7568.09   178866   0.7034136499542788        168463   670.397  
7572.27   179804   0.7029679765542592        169284   678.539  
