# XDI/1.0
# Spectrum.license: CC BY-NC-SA 4.0
# Facility.name: ESRF
# Beamline.name: BM30B (FAME) / FAME-UHD
# Beamline.scan_mode: Fluorescence HERFD
# Beamline.detector: Crystal Analyzer Spectrometer Ge(620)
# Sample.name: Iron (II) Oxide (FeO)
# Sample.formula: FeO
# Sample.temperature: 295 K
# Sample.prep: Synthetic FeO in cellulose pellet
# Element.symbol: Fe
# Element.edge: K
# Publication.DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_SOC_20181115_004
# Database.name: SSHADE / FAME
# Database.spectrum_uid: SPECTRUM_SOC_20181115_004H
# Column.1: Energy
# Column.2: Ifluor_HERFD
# Column.3: Mufluor
# Energy       Ifluor_HERFD    Mufluor
   7123.6702      213.401400      0.946029
   7123.8502      219.115440      0.973819
   7124.0602      226.806620      1.011226
   7124.2502      236.162010      1.056727
   7124.4702      242.167070      1.085933
   7124.6702      250.746300      1.127658
   7124.8602      255.659720      1.151555
   7125.0602      260.389460      1.174558
   7125.2702      261.915560      1.181981
   7125.4402      269.026280      1.216564
   7125.6502      273.123320      1.236490
   7125.8502      275.721500      1.249127
   7126.0702      278.307840      1.261706
   7126.2602      280.769000      1.273676
   7126.4502      283.764060      1.288242
   7126.6502      286.367050      1.300902
   7126.8502      290.194740      1.319518
   7127.0502      291.459230      1.325668
   7127.2502      294.914020      1.342471
   7127.4702      298.386490      1.359359
   7127.6602      304.046960      1.386889
   7127.8602      306.969670      1.401104
   7128.0402      311.160460      1.421486
   7128.2502      314.913370      1.439739
   7128.4702      320.007760      1.464516
   7128.6602      324.999980      1.488796
   7128.8602      329.472680      1.510549
   7129.0602      329.450550      1.510441
   7129.2602      334.066260      1.532890
   7129.4602      333.611150      1.530677
   7129.6702      332.399610      1.524784
   7129.8602      332.300740      1.524303
   7130.0702      330.776570      1.516891
   7130.2702      326.838650      1.497738
   7130.4302      321.619220      1.472353
   7130.6602      322.404360      1.476172
   7130.8702      315.352840      1.441876
   7131.0502      311.756030      1.424383
   7131.2702      302.801960      1.380834
   7131.4602      296.154260      1.348503
   7131.6502      291.718910      1.326931
   7131.8402      287.130710      1.304616
   7132.0702      281.594620      1.277691
   7132.2702      274.989160      1.245565
   7132.4502      272.377240      1.232862
   7132.6602      265.481740      1.199325
   7132.8702      262.518510      1.184913
   7133.0402      257.912320      1.162511
   7133.2702      253.681110      1.141932
   7133.4602      251.506850      1.131357
   7133.6602      249.705820      1.122598
   7133.8602      247.792110      1.113290
   7134.0502      245.023530      1.099825
   7134.2602      245.066330      1.100033
   7134.4502      243.891200      1.094318
   7134.6802      241.232530      1.081387
   7134.8602      240.352450      1.077107
   7135.0502      241.131180      1.080894
   7135.2602      238.465150      1.067928
   7135.4702      237.901270      1.065186
   7135.6402      237.255260      1.062044
   7135.8702      235.238330      1.052234
   7136.0502      235.122990      1.051673
   7136.2602      233.557690      1.044060
   7136.4502      231.859430      1.035801
   7136.6602      231.253200      1.032852
   7136.8602      229.291080      1.023309
   7137.0502      228.741500      1.020636
   7137.2702      230.370370      1.028559
   7137.4602      227.667820      1.015414
   7137.6402      227.423270      1.014225
   7137.8502      224.842700      1.001674
   7138.0802      225.140690      1.003124
   7138.2402      223.359680      0.994462
   7138.4702      222.748210      0.991488
   7138.6602      222.757100      0.991531
   7138.8602      222.202380      0.988833
   7139.0502      223.243190      0.993895
   7139.2702      222.411450      0.989850
   7139.4702      223.898420      0.997082
   7139.6602      223.420220      0.994756
   7139.8602      223.428620      0.994797
   7140.0602      224.040350      0.997772
   7140.2502      224.863770      1.001777
   7140.4602      227.090930      1.012609
   7140.6802      228.093470      1.017485
   7140.8402      229.611530      1.024868
   7141.0502      233.022360      1.041457
   7141.2702      232.906090      1.040891
   7141.4602      233.607560      1.044303
   7141.6402      236.043250      1.056149
   7141.8702      237.282250      1.062175
   7142.0702      237.902150      1.065190
   7142.2502      240.151640      1.076130
   7142.4602      240.519200      1.077918
   7142.6402      242.190750      1.086048
   7142.8602      244.032400      1.095005
   7143.0602      244.214700      1.095891
   7143.2702      246.711820      1.108036
   7143.4502      245.431710      1.101810
   7143.6502      246.746970      1.108207
   7143.8602      247.224350      1.110529
   7144.0602      245.126480      1.100326
   7144.2502      245.454280      1.101920
   7144.4702      245.583710      1.102550
   7144.6702      247.380210      1.111287
   7144.8502      244.819690      1.098834
   7145.0602      245.753740      1.103377
   7145.2602      243.446960      1.092157
   7145.4602      240.758110      1.079080
   7145.6502      241.348820      1.081953
   7145.8802      238.873930      1.069916
   7146.0302      238.255970      1.066911
   7146.2602      238.387920      1.067552
   7146.4502      236.458440      1.058168
   7146.6502      235.795320      1.054943
   7146.8502      233.909240      1.045770
   7147.0702      232.097680      1.036959
   7147.2602      230.101770      1.027252
   7147.4402      229.680260      1.025202
   7147.6502      229.923160      1.026383
   7147.8602      227.287530      1.013565
